EP_ind;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name
summary;;;Electricity supply;Consumption;Electricity consumption;Electricity demand;Electricity demand;Electr. Demand
summary;;;Electricity supply;Consumption;Electricity consumption;Cooling demand;Cooling demand;Elec.dem Cooling
summary;;;Electricity supply;Consumption;Electricity consumption;Fixed electr. Exp/Imp demand;Fixed electr. Exp/Imp demand;Fixed Exp/Imp
summary;;;District heating supply;Consumption;District heating demand;DH demand;Dh demand;DH Demand
summary;Onshore wind;VRES;VRES;Primary energy supply;Electricity supply;Wind;Onshore wind;Wind Electr.
summary;Offshore wind;VRES;VRES;Primary energy supply;Electricity supply;Wind;Offshore wind;Offshore Electr.
summary;PV;VRES;VRES;Primary energy supply;Electricity supply;Solar;PV;PV Electr.
summary;River hydro;VRES;VRES;Primary energy supply;Electricity supply;Hydro;River hydro;River Electr.
summary;Tidal;VRES;VRES;Primary energy supply;Electricity supply;Marine;Tidal;Tidal Electr.
summary;Wave;VRES;VRES;Primary energy supply;Electricity supply;Marine;Wave;Wave Electr.
summary;CSP;VRES;VRES;Primary energy supply;Electricity supply;Solar;CSP;CSP Electr.
summary;CSP;VRES;VRES;Primary energy supply;Electricity supply;Solar;CSP;CSP2 Electr.
summary;CSP;VRES;Electricity storage;Electricity storage;Electricity storage;Solar;CSP;CSP2 Storage
summary;CSP;VRES;Electricity;Loss;Electricity;Solar;CSP;CSP2 loss
summary;Hydro power;Hydro;Hydro;Primary energy supply;Electricity supply;Hydro;Hydro power;Hydro Electr.
summary;Hydro power;Hydro;Hydro;Primary energy supply;Electricity;Hydro;Hydro power;Hydro pump
summary;Hydro power;Hydro;Hydro;Electricity storage;Electricity;Hydro;Hydro power;Hydro storage
summary;Hydro power;Hydro;Hydro;Hydro water supply;Hydro potential;Hydro;Hydro power;Hydro Wat-Sup
summary;Hydro power;Hydro;Hydro potential;Hydro water supply;Losses;Hydro;Hydro power;Hydro Wat-Loss
summary;Solar thermal;VRES;RES;Primary energy supply;District heating supply;Solar;Solar thermal;Solar Heat
summary;;;Industrial excess;Supply;District heating supply;Surplus heat;Industrial excess & geothermal heat;CSHP 1 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Waste;Waste incineration;Waste 1 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Boilers;Boilers;Boiler 1 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Solar;Solar thermal;Solar 1 Heat
summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;Solar thermal storage;Sol1 Str Heat
summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Surplus heat;Industrial excess & geothermal heat;CSHP 2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Waste;Waste incineration;Waste 2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Geothermal;Geothermal heating;Geoth 2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Geothermal;Geothermal;Geoth 2 Steam
summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;Solar thermal storage;Geoth 2 Storage
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Central power plants & DH;CHP plants;CHP 2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Heat pumps;Heat pumps (DH);HP 2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Boilers;Boilers;Boiler 2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Electric heating;Electric heating;EH 2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Electrolysers;Electrolysers;ELT 2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Solar;Solar thermal;Solar2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;Solar thermal storage;Sol2 Str Heat
summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;DH thermal storage;Storage2 Heat
summary;;;District heating supply;Balance;District heating demand;Balance;DH balance;Balance2 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Surplus heat;Industrial excess & geothermal heat;CSHP 3 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Waste;Waste incineration;Waste 3 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Geothermal;Geothermal heating;Geoth 3 Heat
summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Geothermal;Geothermal;Geoth 3 Steam
summary;;;Heat and power (CHP, PP, Boilers);Storage;District heating supply;Thermal storage;Solar thermal storage;Geoth 3 Storage
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Central power plants & DH;CHP plants;CHP 3 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Heat pumps;Heat pumps (DH);HP 3 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Boilers;Boilers;Boiler 3 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Electric heating;Electric heating;EH 3 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Electrolysers;Electrolysers;ELT 3 Heat
summary;;;Heat and power (CHP, PP, Boilers);Heating supply;District heating supply;Solar;Solar thermal;Solar3 Heat
summary;;;Thermal storage;Thermal storage;Thermal storage;Thermal storage;Solar thermal storage;Sol3 Str Heat
summary;;;Thermal storage;Thermal storage;Thermal storage;Thermal storage;DH thermal storage;Storage3 Heat
summary;;;District heating supply;Balance;District heating demand;Balance;DH balance;Balance3 Heat
summary;;;Electricity supply;Consumption;Electricity demand;Electricity demand;Flexible electricity demand;Flexible Electr.
summary;;;Electricity supply;Consumption;District heating supply;Heat pumps;Heat pumps (DH);HP Electr.
summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity supply;CHP plants;Industrial CHP;CSHP Electr.
summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity supply;CHP plants;CHP plants (back-pressure);CHP Electr.
summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity supply;Power plants;Condensing power plant;PP Electr.
summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity supply;Power plants;Condensing power plant;PP2 Electr.
summary;Nuclear;Nuclear;Nuclear electr.;Supply;Electricity supply;Nuclear plants;Nuclear plants;Nuclear Electr.
summary;Geothermal;Geothermal;Geothermal electr.;Supply;Electricity supply;Geothermal;Geothermal electricity;Geother. Electr.
summary;;;Electricity supply;Consumption;Electricity consumption;Electricity storage;Hydro pump;Pump Electr.
summary;Hydro power;Hydro;Electricity storage;Supply;Electricity supply;Electricity storage;Hydro turbine;Turbine Electr.
summary;;;Electricity storage;Storage;Electricity storage;Electricity storage;Hydro pump/turbine;Pumped Storage
summary;Hydro power;Hydro;Electricity supply;Consumption;Electricity consumption;Electricity storage;Hydro pump;Pump2 Electr.
summary;Hydro power;Hydro;Electricity storage;Supply;Electricity supply;Electricity storage;Hydro turbine;Turbine2 Electr.
summary;;;Electricity supply;Electricity storage;Electricity storage;Hydro;Hydro pump/turbine;Pumped2 Storage
summary;;;Electricity supply;Consumption;Electricity consumption;Electricity storage;Rockbed storage;Rock in Electr.
summary;;;Electricity storage;Supply;Electricity supply;Electricity storage;Rockbed storage;Rock out Steam
summary;;;Electricity storage;Electricity storage;Electricity storage;Electricity storage;Rockbed storage;Rock str Storage
summary;;;;Consumption;;;;ELT 2 Electr.
summary;;;;Supply;;;;ELT 2 H2 ELT 2
summary;;;;Consumption;;;;ELT 3 Electr.
summary;;;;Supply;;;;ELT 3 H2 ELT 3
summary;;;Electricity;Consumption;Transport;EVs;;V2G Demand
summary;;;Electricity supply;Supply;Electricity storage;EVs;V2G;V2G Charge
summary;;;Electricity storage;Supply;Electricity supply;Electricity storage;V2G;V2G Discha.
summary;;;;Electricity storage;Electricity storage;EVs;V2G;V2G Storage
summary;;;Electricity;Consumption;Electrolysers;;;Trans H2 Electr.
summary;;;;Losses;;;;Trans H2 Electr.
summary;;;;Fuel storage;;;;CO2Hydro Storage
summary;;;;Supply;;;;NH3Hydro Electr.
summary;;;;Supply;;;;CO2Hydro liq.fuel
summary;;;;Supply;;;;NH3Hydro Ammonia
summary;;;Individual supply;Supply;Electricity supply;Micro CHP;Micro CHP;HH-CHP Electr.
summary;;;Electricity supply;Consumption;Electricity consumption;Electric heating;HP (indv. Heating);HH-HP Electr.
