id;EP_indicator;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name;value;unit;internal comments;;;;
0;summary;;;Electricity;Consumption;Electricity demand;;;Electr. Demand;72.99;;;;;;
1;summary;;;Electricity;Consumption;Cooling;;;Elec.dem Cooling;0.0;;;;;;
2;summary;;;Electricity;Trade;Electricity;;;Fixed Exp/Imp;0.0;;;;;;
3;summary;;;District heating supply;Consumption;District heating demand;;;DH Demand;9.61;;;;;;
4;summary;Onshore wind;VRES;RES;Primary energy supply;Electricity;Wind;Onshore wind;Wind Electr.;12.61;;;;;;
5;summary;Offshore wind;VRES;RES;Primary energy supply;Electricity;Wind;Offshore wind;Offshore Electr.;0.0;;;;;;
6;summary;PV;VRES;RES;Primary energy supply;Electricity;Solar;PV;PV Electr.;3.88;;;84,62;;;
7;summary;River hydro;VRES;RES;Primary energy supply;Electricity;Hydro;River hydro;River Electr.;0.0;;;;;;
8;summary;Tidal;VRES;RES;Primary energy supply;Electricity;Marine;Tidal;Tidal Electr.;0.0;;;;;;
9;summary;Wave;VRES;RES;Primary energy supply;Electricity;Marine;Wave;Wave Electr.;0.0;;;;;;
10;summary;CSP;VRES;RES;Primary energy supply;Electricity;Solar;CSP;CSP Electr.;0.0;;;;;;
11;summary;CSP;VRES;RES;Primary energy supply;Electricity;Solar;CSP;CSP2 Electr.;0.0;;;;;;
12;summary;CSP;VRES;Electricity storage;Electricity storage;Electricity storage;Solar;CSP;CSP2 Storage;0.0;;;;;;
13;summary;CSP;VRES;Electricity;Loss;Electricity;Solar;CSP;CSP2 loss;0.0;;;;;;
14;summary;Hydro power;VRES;RES;Primary energy supply;Electricity;Hydro;Hydro power;Hydro Electr.;21.13;;;;;;
15;summary;Hydro power;VRES;RES;Primary energy supply;Electricity;Hydro;Hydro power;Hydro pump;0.0;;;;;;
16;summary;Hydro power;VRES;RES;Electricity storage;Electricity;Hydro;Hydro power;Hydro storage;0.0;;;;;;
17;summary;Hydro power;VRES;RES;Hydro water supply;Hydro potential;Hydro;Hydro power;Hydro Wat-Sup;22.25;;;;;;
18;summary;Hydro power;VRES;Hydro potential;Hydro water supply;Losses;Hydro;Hydro power;Hydro Wat-Loss;0.0;;;;;;
19;summary;Solar thermal;VRES;RES;Primary energy supply;District heating supply;Solar;Solar thermal;Solar Heat;0.0;;sums gr 1,2,3;;;;
20;summary;;;Industrial excess;Supply;District heating supply;Surplus heat;Industrial excess & geothermal heat;CSHP 1 Heat;0.0;;aggregates industrial excess, geothermal and ELT;;;;
21;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Waste;Waste incineration;Waste 1 Heat;0.0;;;;;;
22;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Boilers;Boilers;Boiler 1 Heat;0.0;;;;;;
23;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Solar;Solar thermal;Solar 1 Heat;0.0;;;;;;
24;summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;Solar thermal storage;Sol1 Str Heat;0.0;;;;;;
25;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Surplus heat;Industrial excess & geothermal heat;CSHP 2 Heat;0.0;;;;;;
26;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Waste;Waste incineration;Waste 2 Heat;0.0;;;;;;
27;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Geothermal;Geothermal heating;Geoth 2 Heat;0.0;;;;;;
28;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Geothermal;Geothermal;Geoth 2 Steam;0.0;;;;;;
29;summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;Solar thermal storage;Geoth 2 Storage;0.0;;;;;;
30;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Central power plants & DH;CHP plants;CHP 2 Heat;0.0;;;;;;
31;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Heat pumps;Heat pumps (DH);HP 2 Heat;0.0;;;;;;
32;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Boilers;Boilers;Boiler 2 Heat;0.0;;;;;;
33;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Electric heating;Electric heating;EH 2 Heat;0.0;;;;;;
34;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;;;ELT 2 Heat;0.0;;is this mapped to anything;;;;
35;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Solar;Solar thermal;Solar2 Heat;0.0;;;;;;
36;summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;Solar thermal storage;Sol2 Str Heat;0.0;;;;;;
37;summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;DH thermal storage;Storage2 Heat;0.0;;;;;;
38;summary;;;District heating supply;Balance;District heating demand;Balance;DH balance;Balance2 Heat;0.0;;;;;;
39;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Surplus heat;Industrial excess & geothermal heat;CSHP 3 Heat;1.25;;;;;;
40;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Waste;Waste incineration;Waste 3 Heat;0.0;;;;;;
41;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Geothermal;Geothermal heating;Geoth 3 Heat;0.0;;;;;;
42;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Geothermal;Geothermal;Geoth 3 Steam;0.0;;;;;;
43;summary;;;Heat and power (CHP, PP, Boilers);Storage;District heating supply;Thermal storage;Solar thermal storage;Geoth 3 Storage;0.0;;;;;;
44;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Central power plants & DH;CHP plants;CHP 3 Heat;8.25;;;;;;
45;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Heat pumps;Heat pumps (DH);HP 3 Heat;0.01;;;;;;
46;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Boilers;Boilers;Boiler 3 Heat;0.11;;;;;;
47;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Electric heating;Electric heating;EH 3 Heat;0.0;;;;;;
48;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;;;ELT 3 Heat;0.0;;;;;;
49;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Solar;Solar thermal;Solar3 Heat;0.0;;;;;;
50;summary;;;;Thermal storage;;Thermal storage;Solar thermal storage;Sol3 Str Heat;0.0;;;;;;
51;summary;;;;Thermal storage;;Thermal storage;DH thermal storage;Storage3 Heat;0.0;;;;;;
52;summary;;;District heating supply;Balance;District heating demand;Balance;DH balance;Balance3 Heat;0.0;;;;;;
53;summary;;;Electricity;Supply;Electricity demand;;;Flexible Electr.;8.29;;;;;;
54;summary;;;Electricity;Consumption;District heating supply;Heat pumps;Heat pumps (DH);HP Electr.;0.0;;Disaggregate large scale HP and HH-HP;;;;
55;summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity;CHP plants;Industrial CHP;CSHP Electr.;4.51;;;;;;
